trade_date,close,actual_close,change,pct_chg,vol,amount
20191213,9823.3535,62.99,235.48599999999897,2.4561,442358.77,2781770.141
20191212,9587.8675,61.48,12.47609999999986,0.1303,202593.66,1247667.564
20191211,9575.3914,61.4,-118.52279999999882,-1.2227,291399.37,1794894.22
20191210,9693.9142,62.16,1.5595999999986816,0.0161,235236.85,1462272.841
20191209,9692.3546,62.15,-37.42829999999958,-0.3847,290231.55,1809238.672
20191206,9729.7829,62.39,18.714100000001054,0.1927,312483.06,1947670.639
20191205,9711.0688,62.27,-48.34480000000076,-0.4954,452729.36,2821022.539
20191204,9759.4136,62.58,277.59280000000035,2.9276,784965.69,4882232.339
20191203,9481.8208,60.8,481.8886000000002,5.3544,900325.86,5414302.506
20191129,8999.9322,57.71,-115.40380000000005,-1.266,337348.4,1955006.45
20191128,9115.336,58.45,126.3203999999987,1.4053,298217.72,1739128.654
20191127,8989.0156,57.64,-140.35589999999866,-1.5374,349870.41,2009248.258
20191126,9129.3715,58.54,113.84419999999955,1.2628,345754.8,2017689.992
20191125,9015.5273,57.81,169.98660000000018,1.9217,351298.85,2012181.894
20191122,8845.5407,56.72,-113.84419999999955,-1.2707,368534.9,2104068.512
20191121,8959.3849,57.45,-219.89100000000144,-2.3955,439535.33,2529726.169
20191120,9179.2759,58.86,-93.5705999999991,-1.0091,221706.0,1306719.621
20191119,9272.8465,59.46,73.29700000000048,0.7967,352369.16,2098743.808
20191118,9199.5495,58.99,20.273599999998623,0.2209,225984.61,1325332.947
20191115,9179.2759,58.86,-42.106700000000274,-0.4566,202104.32,1193783.635
20191114,9221.3826,59.13,43.66620000000148,0.4758,353944.97,2090616.405
20191113,9177.7164,58.85,-48.34480000000076,-0.524,364776.12,2143608.691
20191112,9226.0612,59.16,-313.46149999999943,-3.2859,636537.13,3777070.758
20191111,9539.5227,61.17,-380.52040000000125,-3.8359,681351.87,4186552.485
20191108,9920.0431,63.61,-15.595099999998638,-0.157,341203.24,2178351.313
20191107,9935.6382,63.71,32.7497000000003,0.3307,317616.78,2010258.543
20191106,9902.8885,63.5,-90.45160000000033,-0.9051,335865.54,2144646.331
20191105,9993.3401,64.08,-57.70190000000002,-0.5741,535927.51,3443814.986
20191104,10051.042,64.45,104.48719999999958,1.0505,573827.73,3688033.678
20191101,9946.5548,63.78,792.2310999999991,8.6542,1175315.72,7340613.348
20191031,9154.3237,58.7,4.6784999999999854,0.0511,360312.49,2118688.495
20191030,9149.6452,58.67,-112.28469999999834,-1.2123,410228.62,2426195.857
20191029,9261.9299,59.39,388.3179999999993,4.3761,805804.01,4757487.141
20191028,8873.6119,56.9,-38.98780000000079,-0.4374,241273.34,1372454.891
20191025,8912.5997,57.15,-160.6294999999991,-1.7704,476983.96,2704591.533
20191024,9073.2292,58.18,-85.77300000000105,-0.9365,155311.65,906955.58
20191023,9159.0022,58.73,-12.47609999999986,-0.136,160971.86,947682.81
20191022,9171.4783,58.81,57.70190000000002,0.6331,168349.37,985449.306
20191021,9113.7764,58.44,99.8086000000003,1.1073,148176.63,863735.58
